name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Franklin Small-Mid Cap Growth Fund Class A (FRSGX),Mid-Cap Growth,6,22.27,1.34,1.03,0.96
Wells Fargo Endeavor Select Fund - Class Admin (WECDX),Large Growth,6,18.19,1.64,0.90,0.94
DWS Science and Technology Fund - Class C (KTCCX),Technology,7,19.88,1.50,1.01,0.87
Dunham Focused Large Cap Growth Fund Class N (DNFGX),Large Growth,6,21.75,1.37,1.07,0.92
USAA Nasdaq 100 Index Fund C Shares (UCNQX),Large Growth,6,19.87,1.50,,
Principal Blue Chip Fund Class A (PBLAX),Large Growth,6,19.28,1.54,0.96,0.95
Brown Capital Management Mid Company Fund Investor Shares (BCMSX),Mid-Cap Growth,6,22.32,1.33,1.02,0.93
Calvert Global Energy Solutions Fund Class C (CGACX),World Small/Mid Stock,7,23.47,1.27,,
Spyglass Growth Fund Institutional Shares (SPYGX),Mid-Cap Growth,6,24.93,1.19,1.10,0.87
Virtus AllianzGI Focused Growth Fund Institutional Class (PGFIX),Large Growth,6,20.96,1.42,1.06,0.97
Tocqueville Opportunity Fund (TOPPX),Mid-Cap Growth,6,25.30,1.17,1.01,0.85
Wasatch Global Opportunities Fund® Institutional Class (WIGOX),World Small/Mid Stock,7,22.49,1.32,0.96,0.89
RiverPark Large Growth Fund Class Institutional (RPXIX),Large Growth,6,21.45,1.38,1.01,0.85
Fidelity® Emerging Asia Fund (FSEAX),Pacific/Asia ex-Japan Stk,8,20.09,1.48,1.07,0.88
HCM Tactical Growth Fund Class A (HCMGX),Large Growth,6,23.31,1.27,1.15,0.82
Marsico Focus Fund (MFOCX),Large Growth,6,19.98,1.48,1.01,0.87
TCW Artificial Intelligence Equity Fund Class I (TGFTX),Technology,7,21.21,1.40,1.03,0.91
Goldman Sachs Technology Opportunities Fund Class C (GITCX),Technology,7,18.67,1.59,0.91,0.96
Principal MidCap Growth Fund Institutional Class (PGWIX),Mid-Cap Growth,6,23.07,1.29,1.05,0.93
Delaware Ivy Mid Cap Growth Fund Class A (WMGAX),Mid-Cap Growth,6,22.00,1.35,1.02,0.97
TCW Select Equities Fund Class N (TGCNX),Large Growth,6,19.51,1.52,0.97,0.94
Alger Weatherbie Specialized Growth FundClass C (ALMCX),Mid-Cap Growth,6,25.97,1.14,1.07,0.90
Fidelity® Trend Fund (FTRNX),Large Growth,6,19.10,1.55,0.97,0.98
Wells Fargo Endeavor Select Fund - Class A (STAEX),Large Growth,6,18.20,1.63,0.90,0.94
Baron Health Care Fund Institutional Shares (BHCHX),Health,7,17.27,1.71,0.95,0.78
TCW Artificial Intelligence Equity Fund Class N (TGJNX),Technology,7,21.18,1.40,1.03,0.91
Rydex NASDAQ-100® Fund Class A (RYATX),Large Growth,6,19.92,1.48,,
Harbor Disruptive Innovation Fund Investor Class (HIMGX),Mid-Cap Growth,6,23.17,1.27,1.08,0.74
Rydex NASDAQ-100® Fund Class H (RYHOX),Large Growth,6,19.91,1.48,,
Wasatch Global Opportunities Fund® Investor Class (WAGOX),World Small/Mid Stock,7,22.41,1.32,0.96,0.89
Dunham Focused Large Cap Growth Fund Class A (DAFGX),Large Growth,6,21.76,1.35,1.07,0.92
Artisan Global Discovery Fund Advisor Shares (APDDX),World Large-Stock Growth,6,18.31,1.61,0.95,0.83
OCM Gold Fund Investor Class (OCMGX),Equity Precious Metals,8,39.16,0.75,1.00,0.22
Artisan Global Discovery Fund Investor Shares (APFDX),World Large-Stock Growth,6,18.29,1.61,0.95,0.83
Goldman Sachs Small/Mid Cap Growth Fund Class A (GSMAX),Mid-Cap Growth,6,21.47,1.37,0.92,0.98
Eventide Gilead Class I (ETILX),Mid-Cap Growth,6,23.31,1.26,1.07,0.71
RiverPark Large Growth Fund Class Retail (RPXFX),Large Growth,6,21.43,1.37,1.01,0.85
Virtus AllianzGI Focused Growth Fund Class A (PGWAX),Large Growth,6,20.95,1.40,1.06,0.97
William Blair Large Cap Growth Fund Class I (LCGFX),Large Growth,6,18.38,1.60,0.92,0.95
Edgewood Growth Fund Class Institutional (EGFIX),Large Growth,6,17.65,1.66,0.88,0.88
Alger Mid Cap Growth Institutional Fund Class I (ALMRX),Mid-Cap Growth,6,21.82,1.34,0.98,0.90
Black Oak Emerging Technology Fund (BOGSX),Technology,7,22.85,1.28,1.03,0.81
T. Rowe Price Science and Technology Fund (PRSCX),Technology,7,21.68,1.35,1.06,0.82
Baron Fifth Avenue Growth Fund Institutional Class (BFTIX),Large Growth,6,20.08,1.46,0.95,0.84
Baron Health Care Fund Retail Shares (BHCFX),Health,7,17.31,1.69,0.95,0.78
BNY Mellon Technology Growth Fund Class C (DTGCX),Technology,7,22.70,1.29,1.06,0.74
Delaware Smid Cap Growth Fund Class C (DEEVX),Mid-Cap Growth,6,26.55,1.10,1.07,0.86
The Hartford Growth Opportunities Fund Class Y (HGOYX),Large Growth,6,21.56,1.35,1.03,0.88
Alger Focus Equity Fund Class Z (ALZFX),Large Growth,6,18.95,1.54,0.96,0.97
Janus Henderson Forty Fund Class I (JCAPX),Large Growth,6,17.97,1.62,0.90,0.97
The Hartford Growth Opportunities Fund Class I (HGOIX),Large Growth,6,21.55,1.35,1.03,0.88
Alger Mid Cap Growth Fund Class C (AMGCX),Mid-Cap Growth,6,21.47,1.35,0.96,0.89
Eventide Gilead Class N (ETGLX),Mid-Cap Growth,6,23.31,1.25,1.07,0.71
Vanguard Growth Index Fund Admiral Shares (VIGAX),Large Growth,6,19.62,1.48,1.00,1.00
American Century Ultra® Fund C Class (TWCCX),Large Growth,6,21.54,1.35,1.10,0.98
Eventide Gilead Class A (ETAGX),Mid-Cap Growth,6,23.30,1.25,1.07,0.71
Grandeur Peak Global Stalwarts Fund Institutional Class (GGSYX),World Small/Mid Stock,7,21.78,1.33,,
Franklin Gold and Precious Metals Fund Class A (FKRCX),Equity Precious Metals,8,38.01,0.76,1.16,0.31
William Blair Large Cap Growth Fund Class N (LCGNX),Large Growth,6,18.40,1.58,0.92,0.95
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class C (MSPRX)",Large Growth,6,22.16,1.31,1.00,0.78
Segall Bryant & Hamill Small Cap Growth Fund Institutional Class (WISGX),Small Growth,7,22.82,1.27,0.91,0.94
Virtus KAR Capital Growth Fund Class I (PLXGX),Large Growth,6,21.31,1.36,1.03,0.89
BlackRock Mid-Cap Growth Equity Portfolio Institutional Shares (CMGIX),Mid-Cap Growth,6,21.06,1.37,0.95,0.91
Baron Fifth Avenue Growth Fund Retail Class (BFTHX),Large Growth,6,20.08,1.44,0.95,0.84
Virtus KAR Capital Growth Fund Class A (PSTAX),Large Growth,6,21.32,1.36,1.03,0.89
