name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
MFS West Virginia Municipal Bond Fund Class I (MWVIX),Muni Single State Long,3,3.56,0.99,0.87,0.97
Amana Participation Fund Institutional Shares (AMIPX),Emerging Markets Bond,5,3.64,0.97,,
Delaware Premium Income Fund Class A (FPIKX),Derivative Income,6,11.28,0.31,0.72,0.87
Fidelity® Government Income Fund (FGOVX),Intermediate Government,3,3.79,0.92,0.86,0.99
Nuveen New Mexico Municipal Bond Fund Class A (FNMTX),Muni Single State Long,3,3.62,0.97,,
Putnam Ohio Tax Exempt Income Fund Class A (PXOHX),Muni Ohio,3,3.95,0.89,0.97,0.98
T. Rowe Price Summit Municipal Intermediate Fund Investor Class (PRSMX),Muni National Interm,3,3.59,0.98,1.07,0.97
Water Island Credit Opportunities Fund Class R (ARCFX),Nontraditional Bond,3,4.60,0.76,-6.05,0.19
Western Asset Intermediate Bond Fund Class A (WATAX),Intermediate Core Bond,3,3.45,1.01,1.18,0.68
AB Municipal Income Fund II Minnesota Portfolio Class A (AMNAX),Muni Minnesota,3,3.68,0.95,0.90,0.97
AMG Beutel Goodman Core Plus Bond Fund - Class N (ADBLX),Intermediate Core-Plus Bond,3,5.76,0.61,0.94,0.32
DWS Massachusetts Tax Free Fund - Class A (SQMAX),Muni Massachusetts,3,4.27,0.82,1.05,0.99
Federated Hermes Intermediate Municipal Fund Service Shares (FIMTX),Muni National Interm,3,3.82,0.92,,
Goldman Sachs Dynamic Municipal Income Fund Class A (GSMIX),Muni National Interm,3,5.68,0.62,,
MFS Alabama Municipal Bond Fund Class A (MFALX),Muni Single State Long,3,4.32,0.81,1.06,0.98
MFS South Carolina Municipal Bond Fund Class I (MTSCX),Muni Single State Long,3,4.25,0.82,1.03,0.96
Thornburg Limited Term Income Fund Class I (THIIX),Short-Term Bond,2,2.91,1.20,0.92,0.59
T. Rowe Price International Bond Fund (RPIBX),World Bond,4,6.90,0.51,1.14,0.95
American Century Intermediate Term Tax-Free Bond Fund Class A (TWWOX),Muni National Interm,3,4.16,0.84,,
Baird Intermediate Bond Fund Class Investor (BIMSX),Intermediate Core Bond,3,2.83,1.23,1.10,0.88
"BNY Mellon New York Tax Exempt Bond Fund, Inc. (DRNYX)",Muni New York Intermediate,3,4.35,0.80,1.06,0.97
Calvert Flexible Bond Fund Class A (CUBAX),Nontraditional Bond,3,6.41,0.54,-8.50,0.20
DWS California Tax-Free Income Fund - Class A (KCTAX),Muni California Long,3,4.82,0.72,1.15,0.94
Franklin New York Tax Free Income Fund Class A (FNYQX),Muni New York Long,3,4.80,0.73,1.12,0.98
Invesco Limited Term California Municipal Fund Class A (OLCAX),Muni Single State Short,2,4.21,0.83,1.27,0.80
JPMorgan Emerging Markets Strategic Debt Fund Class A (JECAX),Emerging Markets Bond,5,11.67,0.30,1.08,0.99
MFS Maryland Municipal Bond Fund Class A (MFSMX),Muni Single State Long,3,4.63,0.75,1.11,0.94
Neuberger Berman Municipal Intermediate Bond Fund Institutional Class (NMNLX),Muni National Interm,3,4.37,0.80,1.13,0.89
PGIM Strategic Bond Fund- Class C (PUCCX),Multisector Bond,4,8.60,0.41,1.27,0.10
PIMCO Emerging Markets Local Currency and Bond Fund Class I-3 (PELNX),Emerging-Markets Local-Currency Bond,5,14.27,0.24,1.22,0.97
AMG GW&K Municipal Bond Fund Class N (GWMTX),Muni National Interm,3,4.00,0.87,0.98,0.99
Ashmore Emerging Markets Corporate Income Fund Institutional Class (EMCIX),Emerging Markets Bond,5,14.09,0.25,1.66,0.95
AXS Aspect Core Diversified Strategy Fund Class I (EQAIX),Systematic Trend,5,7.12,0.49,-0.08,0.04
BlackRock National Municipal Fund Service Share (BNMSX),Muni National Interm,3,4.81,0.72,1.15,0.93
Dupree Mutual Fund North Carolina Tax-Free Income Fund (NTFIX),Muni Single State Interm,3,3.88,0.90,0.94,0.95
Eaton Vance Oregon Municipal Income Fund Class A (ETORX),Muni Single State Interm,3,3.40,1.02,0.83,0.96
Franklin Louisiana Tax Free Income Fund Class A (FQLAX),Muni Single State Long,3,3.50,0.99,0.82,0.90
Neuberger Berman Municipal Impact Fund Institutional Class Shares (NMIIX),Muni National Interm,3,3.26,1.07,0.79,0.96
Western Asset Oregon Municipals Fund Class A (SHORX),Muni Single State Long,3,4.25,0.82,,
BlackRock National Municipal Fund Investor A Shares (MDNLX),Muni National Interm,3,4.79,0.72,1.15,0.93
"BNY Mellon New Jersey Municipal Bond Fund, Inc. Class A (DRNJX)",Muni New Jersey,3,4.52,0.77,1.10,0.96
Calvert Responsible Municipal Income Fund Class I (CTTIX),Muni National Interm,3,4.02,0.86,0.99,0.98
Delaware Ivy Municipal High Income Fund Class A (IYIAX),High Yield Muni,4,4.84,0.72,0.55,0.94
MainStay MacKay Strategic Bond Fund Class I (MSDIX),Nontraditional Bond,3,5.63,0.62,0.42,0.07
USAA New York Bond Fund Class A (UNYBX),Muni New York Long,3,4.85,0.72,1.17,0.95
Wells Fargo California Tax-Free Fund - Class A (SCTAX),Muni California Long,3,4.36,0.79,1.05,0.96
BBH Intermediate Municipal Bond Fund Class I (BBIIX),Muni National Interm,3,3.25,1.06,,
Eaton Vance New Jersey Municipal Income Fund Class C (ECNJX),Muni New Jersey,3,4.75,0.73,1.16,0.97
Eaton Vance Short Duration Inflation-Protected Income Fund Class C (ECRRX),Inflation-Protected Bond,4,5.00,0.69,1.97,0.67
Hartford Emerging Markets Local Debt Fund Class I (HLDIX),Emerging-Markets Local-Currency Bond,5,13.54,0.26,1.15,0.96
Hennessy Balanced Fund Investor Class (HBFBX),Allocation--50% to 70% Equity,5,8.58,0.32,0.42,0.83
MFS North Carolina Municipal Bond Fund Class A (MSNCX),Muni Single State Long,3,4.77,0.72,1.15,0.95
PGIM Emerging Markets Debt Local Currency Fund-Class A (EMDAX),Emerging-Markets Local-Currency Bond,5,13.58,0.25,1.17,0.98
Fidelity® Intermediate Municipal Income Fund (FLTMX),Muni National Interm,3,3.73,0.92,0.92,0.98
Invesco Intermediate Term Municipal Income Fund Class A (VKLMX),Muni National Interm,3,4.96,0.70,,
Morgan Stanley U.S. Government Securities Trust Class I (USGDX),Intermediate Core Bond,3,3.02,1.14,0.74,0.65
PGIM National Muni Fund- Class A (PRNMX),Muni National Interm,3,5.06,0.68,,
Probabilities Fund Class A (PROAX),Long-Short Equity,4,22.92,0.15,1.07,0.74
Sierra Tactical Core Income Fund Class A (SSIZX),Nontraditional Bond,3,3.75,0.92,0.48,0.20
Sierra Tactical Core Income Fund Investor Class (SSIIX),Nontraditional Bond,3,3.78,0.91,0.49,0.20
Voya Global Bond Fund Class I (IGBIX),World Bond,4,6.66,0.52,1.26,0.73
Western Asset Pennsylvania Municipals Fund Class A (SBPAX),Muni Pennsylvania,3,4.16,0.83,0.99,0.98
BMO Intermediate Tax-Free Fund Class I (MIITX),Muni National Interm,3,4.19,0.82,,
Commerce National Tax Free Intermediate Bond Fund (CFNLX),Muni National Interm,3,3.10,1.11,,
Eaton Vance Maryland Municipal Income Fund Class I (EIMDX),Muni Single State Interm,3,4.22,0.81,1.02,0.95
Loomis Sayles Strategic Income Fund Class A (NEFZX),Multisector Bond,4,8.20,0.42,0.53,0.05
MFS Government Securities Fund Class I (MGSIX),Intermediate Government,3,3.10,1.11,0.92,0.97
USAA Virginia Bond Fund (USVAX),Muni Single State Interm,3,3.87,0.89,0.95,0.98
AB Total Return Bond Portfolio Class C (ABQCX),Intermediate Core-Plus Bond,3,6.19,0.55,1.10,0.38
American Century Government Bond Fund A Class (ABTAX),Intermediate Government,3,3.14,1.09,0.94,0.99
Dunham Long/Short Credit Fund Class N (DNAIX),Nontraditional Bond,3,2.01,1.71,0.09,0.59
JPMorgan Intermediate Tax Free Bond Fund Class I (JITIX),Muni National Interm,3,3.81,0.90,1.14,0.99
MFS Municipal Income Fund Class C (MMICX),Muni National Long,3,5.52,0.62,1.31,0.91
Principal California Municipal Fund Class C (SRCCX),Muni California Intermediate,3,5.70,0.60,1.34,0.91
Vanguard California Intermediate-Term Tax-Exempt Fund Investor Shares (VCAIX),Muni California Intermediate,3,3.57,0.96,,
Western Asset Intermediate-Term Municipals Fund Class I (SBTYX),Muni National Interm,3,4.98,0.69,,
BlackRock Emerging Markets Flexible Dynamic Bond Portfolio Investor A Shares (BAEDX),Nontraditional Bond,3,9.49,0.36,0.67,0.65
BlackRock Income Fund Investor C Shares (BMSCX),Multisector Bond,4,7.97,0.43,0.86,0.89
Delaware Tax-Free USA Intermediate Fund Class C (DUICX),Muni National Interm,3,5.11,0.67,,
Eaton Vance Georgia Municipal Income Fund Class I (EIGAX),Muni Single State Interm,3,3.52,0.97,0.86,0.98
Morgan Stanley Global Fixed Income Opportunities Fund Class A (DINAX),Multisector Bond,4,6.22,0.55,1.07,0.30
Eaton Vance Missouri Municipal Income Fund Class A (ETMOX),Muni Single State Interm,3,3.61,0.94,0.88,0.96
Federated Hermes Total Return Government Bond Fund Service Shares (FTGSX),Intermediate Government,3,4.06,0.84,0.92,0.99
Fidelity® Short Duration High Income Fund (FSAHX),High Yield Bond,5,6.36,0.54,0.78,0.96
Franklin Ohio Tax-Free Income Fund Class A (FOHQX),Muni Ohio,3,3.48,0.98,0.83,0.93
Metropolitan West Strategic Income Fund Class Institutional (MWSIX),Nontraditional Bond,3,5.37,0.63,-6.42,0.16
Nuveen Nebraska Municipal Bond Fund Class A (FNTAX),Muni Single State Long,3,3.77,0.90,,
The Merger Fund® Class I (MERIX),Event Driven,4,3.25,1.05,-0.93,0.01
BNY Mellon Opportunistic Municipal Securities Fund Class C (DMBCX),Muni National Interm,3,4.79,0.71,1.16,0.96
Eaton Vance Virginia Municipal Income Fund Class I (EVAIX),Muni Single State Interm,3,3.71,0.92,0.91,0.98
MFS Mississippi Municipal Bond Fund Class A (MISSX),Muni Single State Long,3,4.05,0.84,0.99,0.98
Segall Bryant & Hamill International Small Cap Fund Institutional Class (SBSIX),Foreign Small/Mid Value,7,22.06,0.15,1.11,0.96
Wells Fargo Government Securities Fund - Class A (SGVDX),Intermediate Government,3,3.02,1.12,1.08,0.84
Barings Global Floating Rate Fund Class Y (BXFYX),Bank Loan,4,10.08,0.34,1.15,0.99
BNY Mellon Intermediate Municipal Bond Fund (DITEX),Muni National Interm,3,3.88,0.87,1.03,0.94
BNY Mellon National Intermediate Municipal Bond Fund Class Investor (MINMX),Muni National Interm,3,4.13,0.82,,
Eaton Vance Arizona Municipal Income Fund Class I (EIAZX),Muni Single State Interm,3,3.79,0.89,0.93,0.98
Eaton Vance Ohio Municipal Income Fund Class C (ECOHX),Muni Ohio,3,3.94,0.86,0.96,0.98
Invesco High Yield Fund Class C (AHYCX),High Yield Bond,5,10.60,0.32,1.14,0.98
RiverNorth/Oaktree High Income Fund Class R (RNOTX),High Yield Bond,5,8.90,0.38,,
Salient MLP & Energy Infrastructure Fund Class A (SMAPX),Energy Limited Partnership,8,32.34,0.10,,
Wells Fargo International Bond Fund - Class A (ESIYX),World Bond,4,6.51,0.52,1.06,0.92
Western Asset Intermediate Maturity New York Municipals Fund Class I (LMIIX),Muni New York Intermediate,3,4.31,0.79,,
DWS Intermediate Tax-Free Fund - Class A (SZMAX),Muni National Interm,3,3.65,0.92,1.09,0.97
Federated Hermes Municipal Bond Fund Class C Shares (LMSCX),Muni National Long,3,4.77,0.71,,
Franklin Arizona Tax Free Income Fund Class A (FAZQX),Muni Single State Long,3,4.18,0.81,1.03,0.98
Goldman Sachs Global Core Fixed Income Fund Class C Shares (GSLCX),World Bond-USD Hedged,4,4.22,0.80,1.23,0.86
Horizon Active Income Fund Class A (AIHAX),Intermediate Core-Plus Bond,3,3.94,0.86,0.76,0.45
North SquareTrilogy Alternative Return Fund Class I Shares (STTIX),Options Trading,8,4.97,0.68,-0.03,0.00
Rydex High Yield Strategy Fund Class H (RYHGX),High Yield Bond,5,8.96,0.38,0.90,0.86
BlackRock Pennsylvania Municipal Bond Fund Investor A Shares (MEPYX),Muni Pennsylvania,3,5.19,0.65,1.24,0.92
Credit Suisse Managed Futures Strategy Fund Class A (CSAAX),Systematic Trend,5,9.23,0.37,,
Eaton Vance Minnesota Municipal Income Fund Class I (EIMNX),Muni Minnesota,3,3.38,1.00,0.83,0.97
Eaton Vance Pennsylvania Municipal Income Fund Class I (EIPAX),Muni Pennsylvania,3,3.40,0.99,0.83,0.98
Franklin Minnesota Tax-Free Income Fund Class A (FMNQX),Muni Minnesota,3,3.82,0.88,0.92,0.95
GuideStone Funds Global Bond Fund Investor Class (GGBFX),World Bond,4,6.93,0.49,1.11,0.53
MFS Emerging Markets Debt Local Currency Fund Class A (EMLAX),Emerging-Markets Local-Currency Bond,5,13.57,0.25,1.17,0.98
PGIM Floating Rate Income Fund- Class A (FRFAX),Bank Loan,4,10.57,0.32,1.20,0.99
Putnam Strategic Intermediate Municipal Fund Class C (PAMTX),Muni National Interm,3,5.06,0.67,,
Rydex High Yield Strategy Fund Class A (RYHDX),High Yield Bond,5,8.94,0.38,0.90,0.86
Sit Minnesota Tax-Free Income Fund (SMTFX),Muni Minnesota,3,4.38,0.77,1.32,0.79
Thrivent Government Bond S Class (TBFIX),Intermediate Government,3,3.39,1.00,0.75,0.97
Western Asset Massachusetts Municipals Fund Class I (LHMIX),Muni Massachusetts,3,4.64,0.73,1.18,0.90
BlackRock Pennsylvania Municipal Bond Fund Service Shares (MSPYX),Muni Pennsylvania,3,5.19,0.65,1.24,0.92
Chartwell Short Duration High Yield (CWFIX),High Yield Bond,5,4.76,0.71,0.59,0.09
Eaton Vance National Municipal Income Fund Class C (ECHMX),Muni National Long,3,4.77,0.70,1.17,0.98
MFS California Municipal Bond Fund Class C (MCCAX),Muni California Long,3,5.67,0.59,1.36,0.94
Parametric TABS Intermediate-Term Municipal Bond Fund Class A (EITAX),Muni National Interm,3,3.71,0.91,0.99,0.96
PIMCO Mortgage-Backed Securities Fund Class A (PMRAX),Intermediate Core-Plus Bond,3,1.82,1.84,0.65,0.48
Wells Fargo Pennsylvania Tax-Free Fund - Class A (EKVAX),Muni Pennsylvania,3,3.49,0.96,0.85,0.97
JPMorgan Government Bond Fund Class A (OGGAX),Intermediate Government,3,3.45,0.97,0.76,0.95
Loomis Sayles Strategic Alpha Fund Class A (LABAX),Nontraditional Bond,3,5.21,0.64,,
MFS Georgia Municipal Bond Fund Class A (MMGAX),Muni Single State Long,3,4.49,0.75,1.09,0.96
PIMCO GNMA and Government Securities Fund Class A (PAGNX),Intermediate Government,3,1.85,1.81,0.88,0.90
Putnam Income Fund Class C (PUICX),Intermediate Core-Plus Bond,3,4.44,0.75,1.00,0.62
Franklin Colorado Tax Free Income Fund Class A (FCOQX),Muni Single State Long,3,3.97,0.84,0.97,0.98
Nuveen Louisiana Municipal Bond Fund Class C (FAFLX),Muni Single State Long,3,4.00,0.83,,
Pioneer High Income Municipal Fund Class C (HICMX),High Yield Muni,4,6.57,0.51,0.77,0.99
Shelton Tactical Credit Investor (DEBTX),Nontraditional Bond,3,10.70,0.31,0.30,0.01
Sierra Tactical All Asset Fund Class A1 (SIRZX),World Allocation,5,3.79,0.88,,
Wells Fargo Intermediate Tax/AMT-Free Fund - Class Inst (WITIX),Muni National Interm,3,3.49,0.96,1.04,0.97
AB Municipal Income Fund II New Jersey Portfolio Class C (ANJCX),Muni New Jersey,3,5.14,0.65,1.21,0.90
Guggenheim Macro Opportunities Fund Class P (GIOPX),Nontraditional Bond,3,5.26,0.63,-8.34,0.28
Morgan Stanley Mortgage Securities Trust Class I (MTGDX),Intermediate Core-Plus Bond,3,5.80,0.58,-0.03,0.00
Neuberger Berman Municipal Intermediate Bond Fund Investor Class (NMUIX),Muni National Interm,3,4.37,0.76,1.13,0.89
Putnam Tax Exempt Income Fund Class C (PTECX),Muni National Long,3,5.45,0.61,1.31,0.94
Sierra Tactical All Asset Fund Class I1 (SIRJX),World Allocation,5,3.82,0.87,,
Toews Tactical Income Fund (THHYX),High Yield Bond,5,4.26,0.78,,
Transamerica Bond Class C (IFLLX),Intermediate Core-Plus Bond,3,5.45,0.61,0.99,0.40
Virtus Newfleet Tax-Exempt Bond Fund Class A (HXBZX),Muni National Interm,3,3.64,0.91,,
AB Municipal Income Fund II Arizona Portfolio Class A (AAZAX),Muni Single State Interm,3,4.42,0.75,1.05,0.91
AdvisorOne CLS Flexible Income Fund Class N (CLFLX),Intermediate Core-Plus Bond,3,5.34,0.62,0.67,0.19
Catalyst/CIFC Floating Rate Income Fund Class I (CFRIX),Bank Loan,4,7.73,0.43,1.05,0.93
Delaware Tax-Free Minnesota Fund Class A (DEFFX),Muni Minnesota,3,4.48,0.74,1.08,0.94
Eaton Vance Short Duration Strategic Income Fund Class C (ECSIX),Nontraditional Bond,3,6.35,0.51,0.20,0.01
JPMorgan Sustainable Municipal Income Fund Class I (HLTAX),Muni National Interm,3,3.28,1.01,0.98,0.98
Matthews Asia Credit Opportunities Fund Institutional Class Shares (MICPX),Emerging Markets Bond,5,9.64,0.34,,
Putnam Pennsylvania Tax Exempt Income Fund Class C (PPNCX),Muni Pennsylvania,3,4.07,0.81,0.99,0.96
Schwab Tax-Free Bond Fund™ (SWNTX),Muni National Interm,3,3.88,0.85,1.02,0.92
Touchstone Core Municipal Bond Fund Class A (TOHAX),Muni Ohio,3,3.26,1.01,0.80,0.97
Western Asset Intermediate-Term Municipals Fund Class A (SBLTX),Muni National Interm,3,4.96,0.67,,
American Funds Mortgage Fund® Class F-1 (MFAEX),Intermediate Government,3,2.08,1.59,0.97,0.84
BNY Mellon Massachusetts Fund Class A (PSMAX),Muni Massachusetts,3,4.25,0.78,1.04,0.98
Eaton Vance New York Municipal Income Fund Class C (ECNYX),Muni New York Long,3,4.78,0.69,1.16,0.96
New Covenant Income Fund (NCICX),Short-Term Bond,2,2.74,1.21,1.05,0.69
Nuveen New Jersey Municipal Bond Fund Class C (NJCCX),Muni New Jersey,3,4.98,0.66,,
Wilshire Income Opportunities Fund Investment Class (WIORX),Multisector Bond,4,6.46,0.51,1.15,0.39
Invesco Rochester® Limited Term New York Municipal Fund Class A (LTNYX),Muni Single State Short,2,3.56,0.92,1.07,0.79
Lord Abbett Short Duration High Yield Municipal Bond Fund Class A (SDHAX),High Yield Muni,4,5.86,0.56,,
SEI Tax Exempt Trust Pennsylvania Municipal Bond Fund Class F (SEPAX),Muni Pennsylvania,3,3.46,0.95,,
American Funds Mortgage Fund® Class A (MFAAX),Intermediate Government,3,2.08,1.57,0.98,0.84
BBH Intermediate Municipal Bond Fund Class N (BBINX),Muni National Interm,3,3.23,1.02,,
Franklin Michigan Tax-Free Income Fund Class C (FRMTX),Muni Single State Long,3,3.58,0.91,0.87,0.96
MainStay Short Term Bond Fund Class A (MIXAX),Short-Term Bond,2,4.26,0.77,2.05,0.24
Nuveen Colorado Municipal Bond Fund Class C (FAFKX),Muni Single State Long,3,4.48,0.73,,
Amana Participation Fund Investor Shares (AMAPX),Emerging Markets Bond,5,3.58,0.91,,
Columbia Quality Income Fund Class C (AUGCX),Intermediate Core-Plus Bond,3,4.15,0.79,0.36,0.03
Eaton Vance North Carolina Municipal Income Fund Class I (EINCX),Muni Single State Interm,3,3.73,0.87,0.92,0.99
MFS South Carolina Municipal Bond Fund Class A (MFSCX),Muni Single State Long,3,4.28,0.76,1.04,0.96
MFS West Virginia Municipal Bond Fund Class A (MFWVX),Muni Single State Long,3,3.55,0.92,0.87,0.97
PIMCO Income Fund Class C (PONCX),Multisector Bond,4,5.76,0.57,0.38,0.05
Principal Core Fixed Income Fund Class C (CNMCX),Intermediate Core Bond,3,4.43,0.74,1.09,0.74
Transamerica Intermediate Muni Class C (TCMUX),Muni National Interm,3,4.05,0.81,,
Western Asset Intermediate Maturity New York Municipals Fund Class A (IMNYX),Muni New York Intermediate,3,4.25,0.77,,
BNY Mellon Connecticut Fund Class A (PSCTX),Muni Single State Interm,3,3.89,0.84,0.95,0.96
Federated Hermes Ohio Municipal Income Fund Institutional Shares (OMIIX),Muni Ohio,3,3.56,0.92,,
Franklin Oregon Tax Free Income Fund Class A (FOFQX),Muni Single State Long,3,3.90,0.83,0.95,0.96
Northern Intermediate Tax-Exempt Fund (NOITX),Muni National Interm,3,3.41,0.96,,
Robinson Opportunistic Income Fund Class C Shares (RBNCX),High Yield Bond,5,13.67,0.24,1.41,0.44
Franklin Massachusetts Tax-Free Income Fund Class A (FMAQX),Muni Massachusetts,3,4.06,0.80,0.99,0.97
Franklin Missouri Tax Free Income Fund Class A (FMQOX),Muni Single State Long,3,3.68,0.88,0.89,0.96
Nuveen California Municipal Bond Fund Class C (NAKFX),Muni California Long,3,5.13,0.63,,
Eaton Vance Maryland Municipal Income Fund Class A (ETMDX),Muni Single State Interm,3,4.24,0.76,1.02,0.95
Eaton Vance Virginia Municipal Income Fund Class A (ETVAX),Muni Single State Interm,3,3.69,0.88,0.91,0.98
MFS Government Securities Fund Class A (MFGSX),Intermediate Government,3,3.15,1.03,0.94,0.97
Neuberger Berman Floating Rate Income Fund Institutional Class (NFIIX),Bank Loan,4,9.36,0.35,1.06,0.99
Western Asset Massachusetts Municipals Fund Class A (SLMMX),Muni Massachusetts,3,4.64,0.70,1.19,0.90
Delaware Tax-Free Colorado Fund Class C (DVCTX),Muni Single State Long,3,4.95,0.65,1.18,0.92
Putnam Minnesota Tax Exempt Income Fund Class A (PXMNX),Muni Minnesota,3,3.68,0.88,0.90,0.97
American Century Global Bond Fund I Class (AGBHX),World Bond-USD Hedged,4,4.57,0.70,1.20,0.70
BNY Mellon Global Dynamic Bond Income Fund - Class A (DGDAX),Nontraditional Bond,3,4.86,0.66,0.24,0.00
Federated Hermes Ohio Municipal Income Fund Class A Shares (OMIAX),Muni Ohio,3,3.59,0.90,,
Metropolitan West Strategic Income Fund Class M (MWSTX),Nontraditional Bond,3,5.44,0.59,,
PIMCO Emerging Markets Local Currency and Bond Fund Class A (PELAX),Emerging-Markets Local-Currency Bond,5,14.27,0.23,1.22,0.97
Segall Bryant & Hamill International Small Cap Fund Retail Class (SBHSX),Foreign Small/Mid Value,7,22.11,0.15,1.11,0.96
AB Municipal Income Fund II Pennsylvania Portfolio Class Class C (APACX),Muni Pennsylvania,3,4.07,0.79,0.98,0.95
Ashmore Emerging Markets Corporate Income Fund Class A (ECDAX),Emerging Markets Bond,5,14.07,0.23,1.65,0.95
BNY Mellon Pennsylvania Intermediate Municipal Bond Fund Class Investor (MIPAX),Muni Pennsylvania,3,3.72,0.86,,
Delaware Minnesota High-Yield Municipal Bond Fund Class C (DVMMX),Muni Minnesota,3,5.53,0.58,1.29,0.88
DWS New York Tax-Free Income Fund - Class C (KNTCX),Muni New York Long,3,4.66,0.69,1.09,0.97
Eaton Vance Connecticut Municipal Income Fund Class I (EICTX),Muni Single State Interm,3,3.44,0.93,0.85,0.98
Eaton Vance Georgia Municipal Income Fund Class A (ETGAX),Muni Single State Interm,3,3.52,0.91,0.87,0.98
Eaton Vance Pennsylvania Municipal Income Fund Class A (ETPAX),Muni Pennsylvania,3,3.42,0.94,0.84,0.98
Franklin K2 Alternative Strategies Fund Class C (FASCX),Multistrategy,4,5.63,0.57,,
Hartford Emerging Markets Local Debt Fund Class A (HLDAX),Emerging-Markets Local-Currency Bond,5,13.45,0.24,1.15,0.96
Leader Short Term High Yield Bond Fund Institutional Class (LCCIX),Short-Term Bond,2,11.37,0.28,-1.09,0.01
Putnam RetirementReady 2025 Fund Class A (PRROX),Target-Date 2025,5,6.30,0.51,0.31,0.83
Thornburg Limited Term Income Fund Class A (THIFX),Short-Term Bond,2,2.91,1.10,0.93,0.60
Wells Fargo Wisconsin Tax-Free Fund Institutional Class (WWTIX),Muni Single State Interm,3,2.63,1.22,0.65,0.98
BNY Mellon Tax Sensitive Total Return Bond Fund Class A (DSDAX),Muni National Interm,3,4.01,0.80,,
DoubleLine Flexible Income Fund Class I (DFLEX),Nontraditional Bond,3,8.82,0.36,4.00,0.56
Eaton Vance Massachusetts Municipal Income Fund Class I (EIMAX),Muni Massachusetts,3,3.83,0.83,0.94,0.99
Franklin New Jersey Tax Free Income Fund Class A (FNJQX),Muni New Jersey,3,4.52,0.71,1.09,0.94
MainStay MacKay Strategic Bond Fund Class A (MASAX),Nontraditional Bond,3,5.69,0.56,0.43,0.07
Nuveen Short Duration High Yield Municipal Bond Fund Class C (NVCCX),High Yield Muni,4,6.15,0.52,,
Calvert Responsible Municipal Income Fund Class A (CTTLX),Muni National Interm,3,4.04,0.79,0.99,0.98
Columbia Intermediate Municipal Bond Fund Class A (LITAX),Muni National Interm,3,3.93,0.81,,
Columbia Tax-Exempt Fund Class C (COLCX),Muni National Long,3,5.66,0.56,1.33,0.90
Delaware Tax-Free Idaho Fund Class C (DVICX),Muni Single State Long,3,4.37,0.73,1.04,0.92
Dunham Long/Short Credit Fund Class A (DAAIX),Nontraditional Bond,3,1.96,1.62,0.09,0.60
Templeton Foreign Fund Class C (TEFTX),Foreign Large Value,6,19.10,0.17,1.09,0.93
USAA Virginia Bond Fund Class A (UVABX),Muni Single State Interm,3,3.85,0.83,0.94,0.97
Voya Global Bond Fund Class A (INGBX),World Bond,4,6.70,0.48,1.26,0.73
BNY Mellon New York Intermediate Tax-Exempt Bond Fund Investor Shares (MNYIX),Muni New York Intermediate,3,4.34,0.73,,
Delaware Floating Rate Fund Class A (DDFAX),Bank Loan,4,7.48,0.42,0.85,0.99
Eaton Vance Arizona Municipal Income Fund Class A (ETAZX),Muni Single State Interm,3,3.79,0.84,0.93,0.99
Franklin K2 Long Short Credit Fund Class A (FKLSX),Nontraditional Bond,3,7.15,0.44,,
JPMorgan Intermediate Tax Free Bond Fund Class A (JITAX),Muni National Interm,3,3.80,0.84,1.14,0.99
PIMCO Low Duration Income Fund I-3 (PFNIX),Short-Term Bond,2,4.66,0.68,-0.57,0.02
Northern Arizona Tax-Exempt Fund (NOAZX),Muni Single State Interm,3,3.87,0.82,0.94,0.93
Northern California Intermediate Tax-Exempt Fund (NCITX),Muni California Intermediate,3,3.79,0.84,,
AlphaCentric Income Opportunities Fund Class I (IOFIX),Multisector Bond,4,23.79,0.13,1.39,0.04
BMO Intermediate Tax Free Fund Class Y (MITFX),Muni National Interm,3,4.18,0.76,,
Eaton Vance Minnesota Municipal Income Fund Class A (ETMNX),Muni Minnesota,3,3.38,0.94,0.83,0.98
"BNY Mellon California AMT-Free Municipal Bond Fund, Inc. - Class A (DCAAX)",Muni California Intermediate,3,4.57,0.69,1.12,0.97
Franklin Georgia Tax Free Income Fund Class A (FGAQX),Muni Single State Long,3,3.84,0.82,0.94,0.98
The Arbitrage Fund Class Institutional (ARBNX),Event Driven,4,3.32,0.95,-2.83,0.08
Wells Fargo Intermediate Tax/AMT-Free Fund - Class Admin (WFITX),Muni National Interm,3,3.49,0.90,1.04,0.97
Archer Income Fund (ARINX),Intermediate Core-Plus Bond,3,3.37,0.93,0.42,0.19
City National Rochdale Fixed Income Opportunities Fund Class N (RIMOX),High Yield Bond,5,12.21,0.26,,
John Hancock Government Income Fund Class I (JGIFX),Intermediate Government,3,4.12,0.76,0.93,0.99
North Square Trilogy Alternative Return Fund Class A Shares (STTGX),Options Trading,8,4.90,0.64,-0.04,0.00
Nuveen Arizona Municipal Bond Fund Class C (FZCCX),Muni Single State Long,3,4.35,0.72,,
AB Municipal Income Fund National Portfolio Class C (ALNCX),Muni National Interm,3,5.06,0.62,1.21,0.92
American Century Global Bond Fund Investor Class (AGBVX),World Bond-USD Hedged,4,4.56,0.69,1.20,0.70
American Century Short Dur Strat Inc I (ASDHX),Short-Term Bond,2,3.34,0.94,0.53,0.03
Eaton Vance South Carolina Municipal Income Fund Class I (EISCX),Muni Single State Interm,3,2.92,1.07,0.71,0.97
