rank,school,type,grades,address,city,zip,county,district,year
1121,School 29,Public,K-4,88 Danforth Avenue,Paterson,07501,Passaic County,Paterson Public School District,2018
1122,Delair Elementary School,Public,K-3,850 Derousse Avenue,Delair,08110,Camden County,Pennsauken Township Board of Education School District,2018
1123,George L Catrambone,Public,K-5,240 Park Avenue,Long Branch,07740,Monmouth County,LONG BRANCH PUBLIC SCHOOL District,2018
1124,Park Avenue Elementary School,Public,"PK, KG-8",231 Park Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
1125,Gables Elementary School,Public,"PK, KG-5",1 Gables Court,Neptune,07753,Monmouth County,Neptune Township School District,2018
1126,Lindeneau Elementary School,Public,K-5,50 Blossom Street,Edison,08817,Middlesex County,Edison Township School District,2018
1127,Winslow Township Elementary School Three,Public,"PK, KG-3",131 Sicklerville Road,Sicklerville,08081,Camden County,Winslow Township School District,2018
1128,Sussex Avenue School,Public,"PK, KG-8",307 Sussex Ave,Newark,07107,Essex County,Newark Public School District,2018
1129,Clara Parker Elementary School,Public,K-5,401-411 Brunswick Avenue,Trenton,08638,Mercer County,Trenton Public School District,2018
1130,Millville Public Charter School,"Public, Charter",K-8,1101 Wheaton Avenue,Millville,08332,Cumberland County,Millville Public Charter School,2018
1131,Langston Hughes Elementary School,Public,"PK, KG-5",160 Rhode Island Avenue,East Orange,07018,Essex County,East Orange School District,2018
1132,South Main Street Elementary School,Public,"PK, KG-5",701 South Main Street,Pleasantville,08232,Atlantic County,Pleasantville Public School District,2018
1133,Frederic W. Cook Elementary School,Public,K-5,739 Leland Ave,Plainfield,07062,Union County,Plainfield Public School District,2018
1134,Dr. Antonia Pantoja School No. 27,Public,"PK, KG-8",505 -517 Morris Avenue,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
1135,Hawthorne Park Elementary School,Public,K-4,84 Hampshire Lane,Willingboro,08046,Burlington County,Willingboro Public School District,2018
1136,Ivy Hill Elementary School,Public,"PK, KG-8",107 Ivy Street,Newark,07106,Essex County,Newark Public School District,2018
1137,Solve D'Ippolito Elementary School,Public,K-5,1578 North Valley Ave,Vineland,08360,Cumberland County,Vineland Public School District,2018
1138,Roosevelt Elementary School,Public,K-5,83 Livingston Ave,New Brunswick,08901,Middlesex County,New Brunswick School District,2018
1139,Elliott Street Elementary School,Public,"PK, KG-8",721 Summer Avenue,Newark,07104,Essex County,Newark Public School District,2018
1140,George E. Wilson Elementary School,Public,"PK, KG-5",600 Park Avenue,Hamilton,08610,Mercer County,Hamilton Township Public School District,2018
1141,Berkeley Elementary School,Public,K-6,351 Bloomfield Ave,Bloomfield,07003,Essex County,Bloomfield Township School District,2018
1142,Dr. Charles P. DeFuccio School,Public,"PK, KG-8",214 Plainfield Ave,Jersey City,07306,Hudson County,Jersey City Public Schools,2018
1143,Florence Avenue Elementary School,Public,K-5,1324      Springfield Avenue,Irvington,07111,Essex County,Irvington Public School District,2018
1144,Maurice River Township School,Public,"PK, KG-8",3593 Rt 47,Port Elizabeth,08348,Cumberland County,Maurice River Township School District,2018
1145,A A Anastasia Elementary School,Public,K-5,92 Seventh Avenue,Long Branch,07740,Monmouth County,LONG BRANCH PUBLIC SCHOOL District,2018
1146,Rosa Parks Community School,Public,3-7,369 Main Street,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
1147,Aline Bingham Elementary School,Public,K-3,100 First & Orchard Ave,Runnemede,08078,Camden County,Runnemede Public School District,2018
1148,Elizabeth Avenue School,Public,"PK, KG-5",363 Elizabeth Avenue,Somerset,08873,Somerset County,Franklin Township Public School District,2018
1149,Cleveland Street Elementary School,Public,"PK, KG-7",355 Cleveland St,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
1150,Downe Township Elementary School,Public,"PK, KG-8",220 Main St,Newport,08345,Cumberland County,Downe Township School District,2018
1151,Dr. Charles C. Polk School,Public,1-4,1100 Warren St,Roselle,07203,Union County,Roselle Public School District,2018
1152,Mabel G. Homes School No. 5,Public,"PK, KG-8",650 Bayway Avenue,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
1153,Hugh J. Boyd Junior Elementary School,Public,"PK, KG-6",1200 Bay Boulevard,Seaside Heights,08751,Ocean County,Seaside Heights School District,2018
1154,Lalor Elementary School,Public,"PK, KG-5",25 Barnt Deklyn Road,Hamilton,08610,Mercer County,Hamilton Township Public School District,2018
1155,Sonia Sotomayor School No 25,Public,K-8,525 First Avenue,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
1156,Dr. Maya Angelou Elementary School,Public,"PK, KG-5",239 Ocean Avenue,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
1157,North Main Street Elementary School,Public,"PK, KG-5",215 North Main Street,Pleasantville,08232,Atlantic County,Pleasantville Public School District,2018
1158,Newark Educators Community Charter School,"Public, Charter","PK, KG-4",9-11 Hill St,Newark,07102,Essex County,Newark Educators Community Charter School,2018
