rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
598,Washington Elementary School,K-5,Hawthorne Public School District,266,47.4%,"$16,467",58.5,2017
599,J Harold Van Zant,K-5,Evesham Township School District,372,11.3%,"$8,694",58.2,2017
600,Cecil S. Collins Elementary,K-2,Barnegat Township School District,426,24.6%,"$5,306",58.2,2017
601,Hazelwood Elementary School,"PK, KG-3",Middlesex Borough School District,233,27.5%,"$12,216",58,2017
602,Lillian Drive School,1-4,Hazlet Township Public School District,244,25.0%,"$8,335",58,2017
603,Franklin Township School,"PK, KG-8",Franklin Township School District,285,3.2%,"$14,956",58,2017
604,Winslow Township Elementary School Four,"PK, KG-3",Winslow Township School District,516,41.9%,"$9,518",57.9,2017
605,Ogdensburg Borough School,"PK, KG-8",Ogdensburg Borough School District,239,23.8%,"$14,824",57.9,2017
606,Francis A. Desmares Elementary School,K-4,Flemington-Raritan Regional School District,427,31.1%,"$10,815",57.8,2017
607,Rolling Hills Primary School,2-3,Vernon Township School District,338,23.4%,"$11,628",57.8,2017
608,Ocean Avenue Elementary School,"PK, KG-5",Middletown Township Public School District,281,35.9%,"$8,747",57.8,2017
609,New Monmouth Elementary School,K-5,Middletown Township Public School District,394,13.5%,"$13,439",57.7,2017
610,Frank W. Gavlak Elementary School,K-6,Wallington Boro School District,434,35.3%,"$7,394",57.6,2017
611,Edgemont Elementary School,K-5,Montclair Public School District,283,17.7%,"$13,652",57.5,2017
612,Forked River Elementary School,K-4,Lacey Township School District,413,37.3%,"$13,075",57.4,2017
613,Frances DeMasi Elementary School,K-5,Evesham Township School District,311,8.0%,"$8,998",57.3,2017
614,Hillside Elementary School,"PK, KG-4",Mount Laurel Township School District,359,12.0%,"$7,745",57.3,2017
615,Elwood Kindle Elementary School,2-5,Pitman Boro School District,188,20.2%,"$10,965",57.2,2017
616,Florence M. Burd,"PK, KG-4",Andover Regional School District,266,12.0%,"$14,461",57.1,2017
617,Ocean City Primary School,"PK, KG-3",Ocean City School District,361,36.0%,"$12,032",57.1,2017
618,Kingston Elementary School,K-5,Cherry Hill School District,406,25.1%,"$9,353",57.1,2017
619,Parkway Elementary School,"PK, KG-4",Mount Laurel Township School District,366,11.5%,"$8,101",56.9,2017
620,James Russell Lowell Elementary School,K-4,Teaneck School District,317,47.0%,"$6,521",56.9,2017
621,Ann Street School,K-8,Newark Public School District,"1,335",87.6%,"$8,426",56.8,2017
622,Washington School,1-3,Rutherford School District,305,3.9%,"$8,096",56.7,2017
623,Lincoln,"PK, KG-8",Garwood Boro,380,17.6%,"$11,448",56.7,2017
624,Elsinboro Township School,K-8,Elsinboro Township School District,129,49.6%,"$14,031",56.7,2017
625,Raymond E. Voorhees Elementary School,K-5,Old Bridge Township School District,346,20.8%,"$12,225",56.6,2017
626,Radix Elementary,"PK, KG-4",Monroe Township Public School District,669,23.6%,"$5,194",56.6,2017
627,Belleville PS9,K-6,Belleville Public School District,128,71.9%,,56.6,2017
628,Hope Township School,"PK, KG-8",Hope Township School District,155,11.0%,"$19,117",56.5,2017
629,Mary Bray Elementary School,"PK, KG-5",Mt. Ephraim School District,251,29.9%,"$11,701",56.5,2017
630,Upper Greenwood Lake Elementary School,K-5,West Milford Township Public School District,303,26.4%,"$11,903",56.4,2017
631,Salem Drive School,K-5,Hanover Township School District,269,1.5%,"$9,615",56.4,2017
632,Clarendon School,K-5,Secaucus School District,450,28.7%,"$9,914",56.4,2017
633,Nathaniel Hawthorne Elementary School,K-4,Teaneck School District,304,42.4%,"$6,234",56.3,2017
634,Franklin Elementary School,K-6,Bloomfield Township School District,334,42.8%,"$7,165",56.3,2017
635,The Ethical Community Charter School,K-8,The Ethical Community Charter School,369,37.9%,"$8,303",56.2,2017
636,Northfield Community Elementary School,"PK, KG-4",Northfield City School District,497,22.9%,"$10,405",56.2,2017
637,Dr. Paul Rafalides School,"PK, KG-4",Jersey City Public Schools,404,85.6%,"$10,226",56.1,2017
638,Greenwood Elementary School,"PK, KG-5",Hamilton Township Public School District,237,83.1%,"$10,973",56,2017
639,Eleanor Rush Intermediate School,3-5,Cinnaminson Township School District,543,16.4%,"$8,892",56,2017
640,Netcong Elementary School,"PK, KG-8",Netcong School District,295,42.7%,"$12,749",55.9,2017
641,White Township Consolidated School,"PK, KG-8",White Township Consolidated School District,269,20.4%,"$16,580",55.8,2017
642,Robert L. Craig School,"PK, KG-8",Moonachie School District,315,48.9%,"$16,011",55.7,2017
643,Johnnie L. Cochran Junior Academy,K-5,East Orange School District,190,58.4%,"$13,977",55.7,2017
644,Kingwood Township School,"PK, KG-8",Kingwood Township School District,346,9.0%,"$15,499",55.7,2017
645,Conerly Road School,"PK, KG-5",Franklin Township Public School District,429,34.0%,"$10,545",55.6,2017
646,Helen I. Smith School,K-6,Saddle Brook School District,294,18.4%,"$14,876",55.6,2017
647,Osbornville Elementary School,K-5,Brick Township Public School District,432,44.2%,"$8,198",55.6,2017
648,Woodbury Heights Elementary,"PK, KG-6",Woodbury Heights Public School District,210,22.4%,"$12,936",55.5,2017
649,Milford Public School,"PK, KG-5",Milford Borough School District,81,11.1%,"$21,133",55.4,2017
