county_name,year,num_of_bedrooms,house_value_index,est_pop,median_hh_income,poverty_count,poverty_rate,st_abb,state_code,county_code,tax_rate,apr_30,points_30,apr_15,points_15
GLOUCESTER,2016,1,89481.33102028658,290795,79332,22402,7.8,NJ,034,015,3.508625,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
GLOUCESTER,2017,1,90076.41731989071,291088,84639,19238,6.7,NJ,034,015,3.567,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
GLOUCESTER,2018,1,94986.25400653011,291754,81315,21869,7.6,NJ,034,015,3.592625,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
GLOUCESTER,2019,1,103429.06379824458,291842,87996,21602,7.5,NJ,034,015,3.6470833333333332,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
GLOUCESTER,2020,1,117766.34584431142,293245,87220,20136,7.0,NJ,034,015,3.690375,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
GLOUCESTER,2021,1,133149.25089575627,304477,93783,23243,7.7,NJ,034,015,3.694833333333333,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
HUDSON,2010,1,269172.3455088578,635648,53547,103576,16.5,NJ,034,017,5.94875,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
HUDSON,2011,1,252868.35556290371,645658,55133,102173,16.2,NJ,034,017,5.919666666666668,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
HUDSON,2012,1,242339.93277605833,652373,56087,107096,16.6,NJ,034,017,6.084916666666667,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
HUDSON,2013,1,259843.85940714565,657101,55699,126653,19.4,NJ,034,017,6.284000000000002,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
HUDSON,2014,1,280491.230983744,660312,57720,117129,17.7,NJ,034,017,6.09025,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
HUDSON,2015,1,297823.1344966349,664595,60053,117828,17.7,NJ,034,017,6.2218333333333335,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
HUDSON,2016,1,324910.8602383776,668673,63157,104660,15.6,NJ,034,017,6.363583333333332,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
HUDSON,2017,1,354782.831127637,672858,65673,96125,14.1,NJ,034,017,5.8700833333333335,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
HUDSON,2018,1,388032.9287558182,672390,73337,95704,14.3,NJ,034,017,5.081166666666667,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
HUDSON,2019,1,401375.1582768469,674030,77738,90976,13.7,NJ,034,017,5.147333333333333,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
HUDSON,2020,1,429405.17988592875,671666,77323,86854,13.1,NJ,034,017,4.263833333333333,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
HUDSON,2021,1,435797.74290608923,702463,79159,109996,15.9,NJ,034,017,4.300666666666667,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
HUNTERDON,2010,1,161838.15160424742,127323,97532,5016,4.0,NJ,034,019,2.3260769230769234,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
HUNTERDON,2011,1,149728.2227593015,127348,99216,5370,4.3,NJ,034,019,2.4100000000000006,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
HUNTERDON,2012,1,141933.72274500105,126658,103301,5664,4.6,NJ,034,019,2.440807692307692,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
HUNTERDON,2013,1,140300.0886786422,126443,107203,5068,4.1,NJ,034,019,2.518307692307692,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
HUNTERDON,2014,1,144140.2310644507,125902,103876,5742,4.7,NJ,034,019,2.575384615384616,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
HUNTERDON,2015,1,143535.43647784254,125569,102797,6046,5.0,NJ,034,019,2.6692307692307695,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
HUNTERDON,2016,1,143669.21279465844,124976,113336,5431,4.5,NJ,034,019,2.706115384615384,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
HUNTERDON,2017,1,146234.1487710816,125076,113083,4793,3.9,NJ,034,019,2.7421923076923074,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
HUNTERDON,2018,1,151218.08905460467,125265,112335,5317,4.4,NJ,034,019,2.7970384615384623,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
HUNTERDON,2019,1,158561.00115088545,125201,117275,4794,4.0,NJ,034,019,2.8588461538461534,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
HUNTERDON,2020,1,170184.6411198033,124797,113611,4932,4.1,NJ,034,019,2.8812692307692305,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
HUNTERDON,2021,1,186561.9895041995,129924,122095,5115,4.1,NJ,034,019,2.8944615384615378,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
MERCER,2010,1,136561.00042165173,367717,70228,40635,11.7,NJ,034,021,2.984833333333333,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
MERCER,2011,1,120313.65907454287,367407,71926,38790,11.1,NJ,034,021,3.0654166666666662,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
MERCER,2012,1,112614.37252317008,368628,67662,36894,10.5,NJ,034,021,3.121833333333333,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
MERCER,2013,1,111280.30846331223,369534,70575,41296,11.8,NJ,034,021,3.4365833333333335,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
MERCER,2014,1,109805.23405307405,369031,73750,41715,11.8,NJ,034,021,3.348583333333334,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
MERCER,2015,1,108778.48153129888,368266,72172,39354,11.2,NJ,034,021,3.391833333333333,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
MERCER,2016,1,109201.78924127517,367929,76988,39066,11.1,NJ,034,021,3.300166666666667,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
MERCER,2017,1,109867.73443631169,368489,78161,40622,11.4,NJ,034,021,3.2709999999999995,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
MERCER,2018,1,117758.61625811463,368720,79979,38279,10.9,NJ,034,021,3.3123333333333336,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
MERCER,2019,1,125594.73722584837,368047,79475,41600,11.9,NJ,034,021,3.221083333333333,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
MERCER,2020,1,138550.95475229868,367239,87581,33028,9.5,NJ,034,021,3.2780833333333335,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
MERCER,2021,1,152951.31766849675,385898,86499,38024,10.4,NJ,034,021,3.341583333333334,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
MIDDLESEX,2010,1,107295.0357554059,810813,75890,60788,7.7,NJ,034,023,4.895159999999999,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
