rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
37,Community Middle School,6-8,West Windsor-Plainsboro Regional School District,"1,172",5.6%,"$12,257",88.1,2018
38,Dwight D. Eisenhower Middle School,6-8,Wyckoff Township Public School District,718,1.5%,"$12,168",88.1,2018
39,Marlboro Memorial Middle School,6-8,Marlboro Township School District,899,5.3%,"$9,987",88.1,2018
40,Briarcliff Middle School,6-8,Mountain Lakes Public School District,302,1.0%,"$18,304",87.8,2018
41,Robert R Lazar Middle School,6-8,Montville Township School District,871,3.3%,"$14,639",87.8,2018
42,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,476,13.0%,"$7,387",87.8,2018
43,Alpine Elementary School,K-8,Alpine School District,148,0.0%,"$27,835",87.7,2018
44,Central Jersey College Prep Charter School,K-12,Central Jersey College Prep Charter School,598,18.4%,"$8,883",87.7,2018
45,Cranbury School,"PK, KG-8",Cranbury Township School District,469,5.5%,"$18,574",87.7,2018
46,Charles DeWolf Middle School,5-8,Old Tappan Public School District,310,0.0%,"$9,136",87.6,2018
47,Orange Avenue School,3-8,Cranford Public School District,766,1.7%,"$7,540",87.5,2018
48,Glen Ridge High School,7-12,Glen Ridge Public School District,834,0.0%,"$10,966",87.4,2018
49,John Adams Middle School,6-8,Edison Township School District,952,11.2%,"$6,899",87.3,2018
50,Ridgedale Middle School,6-8,Florham Park School District,313,1.0%,"$10,605",87.2,2018
51,Woodglen School,5-8,Lebanon Township School District,289,8.3%,"$10,892",87.1,2018
52,The Gray Charter School,K-8,Gray Charter School,336,78.6%,"$9,242",86.9,2018
53,Old Turnpike School,6-8,Tewksbury Township School District,282,2.5%,"$16,739",86.7,2018
54,Deerfield Elementary School,3-8,Mountainside School District,490,3.3%,"$8,613",86.7,2018
55,Harrington Park School,"PK, KG-8",Harrington Park School District,608,0.0%,"$16,559",86.6,2018
56,Columbia Middle School,6-8,Berkeley Heights School District,566,2.3%,"$10,202",86.4,2018
57,Belhaven Middle School,5-8,Linwood City School District,397,8.6%,"$9,797",86.1,2018
58,Medford Memorial Middle School,7-8,Medford Township School District,695,5.0%,"$5,786",86,2018
59,William R. Satz School,7-8,Holmdel Township School District,514,5.4%,"$14,243",85.9,2018
60,River Dell Middle School,7-8,River Dell Regional School District,571,1.1%,"$15,095",85.8,2018
61,Little Falls Township Public School # 1,5-8,Little Falls Township Public School District,402,21.6%,"$13,515",85.8,2018
62,Lavallette Elementary School,K-8,Lavallette Borough School District,146,11.0%,"$18,143",85.7,2018
63,William Allen Middle School,7-8,Moorestown Township Public School District,639,9.5%,"$7,659",85.7,2018
64,Lawton C. Johnson Summit Middle School,6-8,Summit Public School District,923,14.4%,"$6,058",85.7,2018
65,William Annin Middle School,6-8,Bernards Township School District,"1,341",1.3%,"$10,219",85.5,2018
66,Anthony Wayne Middle School,6-8,Wayne Township Public School District,631,8.6%,"$15,873",85.5,2018
67,Hoboken Charter School,K-12,Hoboken Charter School,296,14.5%,"$10,740",85.4,2018
68,George Washington Middle School,6-8,Wayne Township Public School District,536,15.5%,"$16,001",85.4,2018
69,Maywood Avenue School,4-8,Maywood School District,561,14.4%,"$12,176",85.3,2018
70,Soaring Heights Charter School,K-8,Soaring Heights Charter School,241,50.6%,"$8,696",84.8,2018
71,Eric S. Smith Middle School,6-8,Ramsey School District,742,5.3%,"$11,092",84.7,2018
72,Shrewsbury Borough Elementary School,"PK, KG-8",Shrewsbury Borough School District,470,1.3%,"$14,231",84.5,2018
73,Holdrum Middle School,6-8,River Vale Public School District,399,0.8%,"$15,988",84.5,2018
74,Fieldstone Middle School,5-8,Montvale Board of Education School District,465,1.1%,"$9,522",84.5,2018
75,Long Valley Middle School,6-8,Washington Township School District,776,2.6%,"$11,408",84.3,2018
76,West Essex Middle School,7-8,West Essex Regional School District,554,2.5%,"$10,372",84.1,2018
77,Warren Middle School,6-8,Warren Township School District,666,0.5%,"$13,671",83.8,2018
78,Black River Middle School,6-8,Chester Township School District,387,5.4%,"$11,856",83.7,2018
79,Pearl R. Miller Middle School,6-8,Kinnelon School District,471,3.8%,"$16,526",83.5,2018
80,Cedar Drive Middle School,6-8,Colts Neck Township School District,350,1.1%,"$13,516",83.5,2018
81,Ethel Hoppock Middle School,7-8,Bethlehem Township School District,147,3.4%,"$20,268",83.3,2018
82,Thomas Jefferson Middle School,5-8,Fair Lawn Public School District,726,9.4%,"$8,430",83.3,2018
83,Haddonfield Middle School,6-8,Haddonfield School District,655,1.2%,"$6,717",83.3,2018
84,Kingwood Township School,"PK, KG-8",Kingwood Township School District,335,9.0%,"$15,499",82.9,2018
85,Emerson Junior Senior High,7-12,Emerson Public School District,500,6.2%,"$15,333",82.9,2018
86,Chatham Middle School,6-8,School District of the Chathams,"1,038",1.5%,"$8,721",82.9,2018
87,Slocum Skewes School,2-9,Ridgefield School District,743,33.2%,"$11,589",82.8,2018
88,Rosa International Middle School,6-8,Cherry Hill School District,801,13.1%,"$8,651",82.7,2018
89,Terrill Middle School,5-8,Scotch Plains-Fanwood School District,830,3.5%,"$9,029",82.5,2018
90,Brielle Elementary School,"PK, KG-8",Brielle Boro School District,535,4.7%,"$12,663",82.5,2018
91,Benjamin Franklin Middle School,6-8,Ridgewood Public School District,712,1.4%,"$11,177",82.5,2018
92,Hammarskjold Middle School,6-7,East Brunswick Township School District,"1,200",16.3%,"$13,382",82.4,2018
93,Mountain View School,5-8,Mendham Borough School District,257,3.5%,"$12,123",82.4,2018
94,George Washington Middle School,6-8,Ridgewood Public School District,712,2.1%,"$11,167",82.2,2018
95,Franklin Avenue Middle School,6-8,Franklin Lakes School District,415,0.7%,"$13,230",82,2018
96,Marlboro Middle School,6-8,Marlboro Township School District,"1,053",5.0%,"$9,749",81.9,2018
97,Thompson Middle School,6-8,Middletown Township Public School District,"1,062",3.1%,"$8,182",81.8,2018
98,Roosevelt Intermediate School,6-8,Westfield Public School District,780,1.2%,"$7,490",81.8,2018
99,East Brook Middle School,5-8,Paramus Public School District,607,8.4%,"$14,097",81.7,2018
100,Lincoln Park Middle School,5-8,Lincoln Park School District,418,18.7%,"$9,325",81.7,2018
101,Mount Olive Middle School,6-8,Mount Olive Township School District,"1,063",14.4%,"$9,624",81.5,2018
102,Ramapo Ridge,6-8,Mahwah Township Public School District,700,9.9%,"$11,030",81.4,2018
103,Brooklawn Middle School,6-8,Parsippany-Troy Hills Township School District,918,11.0%,"$11,010",81.4,2018
104,Thomas Edison Intermediate School,6-8,Westfield Public School District,840,4.6%,"$7,471",81.4,2018
105,Union Township Middle School,5-8,Union Township School District,226,3.1%,"$18,446",81.3,2018
106,Norwood Public School,"PK, KG-8",Norwood Public School District,598,0.0%,"$12,636",81.2,2018
107,Richard Butler School,5-8,Butler Public School District,289,20.4%,"$9,699",81.2,2018
108,West Brook Middle School,5-8,Paramus Public School District,590,8.3%,"$14,137",81,2018
109,Schuyler Colfax Middle School,6-8,Wayne Township Public School District,749,6.5%,"$15,872",81,2018
110,Pequannock Valley School,6-8,Pequannock Township School District,481,5.4%,"$16,625",80.9,2018
111,Leonia Middle School,5-8,Leonia Public School District,534,16.5%,"$13,354",80.8,2018
112,Cresskill Middle School,6-8,Cresskill Public School District,437,0.9%,"$9,670",80.7,2018
113,Central Middle School,6-8,Parsippany-Troy Hills Township School District,793,19.5%,"$11,269",80.7,2018
114,Sparta Middle School,6-8,Sparta Township Public School District,761,4.9%,"$11,076",80.6,2018
115,Morris Goodwin School,"PK, KG-8",Greenwich Township School District,63,36.5%,"$18,933",80.5,2018
116,Rockaway Valley School,"PK, KG-8",Boonton Township School District,427,1.9%,"$16,532",80.3,2018
117,Norman S. Weir,K-8,Paterson Public School District,280,64.6%,"$13,381",80.3,2018
118,J.P. Case Middle School,7-8,Flemington-Raritan Regional School District,767,14.9%,"$10,239",80.3,2018
119,Holland Township Elementary School,"PK, KG-8",Holland Township School District,561,6.2%,"$16,743",80.2,2018
