rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
796,Fanny Meyer Hillers,"PK, KG-4",Hackensack School District,632,64.6%,"$15,996",44.2,2018
797,Estell Manor Elementary School,K-8,Estell Manor School District,184,25.0%,"$13,620",44.1,2018
798,Jersey City Golden Door Charter School,"PK, KG-8",Jersey City Golden Door Charter School,569,57.1%,"$7,171",44.1,2018
799,Franklin School,K-6,Saddle Brook School District,309,29.1%,"$12,257",44.1,2018
800,Emma Arleth Elementary School,K-3,Sayreville School District,506,37.5%,"$8,249",44,2018
801,Conerly Road School,"PK, KG-5",Franklin Township Public School District,382,33.0%,"$10,545",43.9,2018
802,Oak Valley Elementary School,2-6,Deptford Township Public School District,369,36.6%,"$6,912",43.9,2018
803,Kelly Elementary School,K-5,West Orange Public Schools,447,41.4%,"$14,318",43.8,2018
804,Menlo Park Terrace Elementary School,K-5,Woodbridge Township School District,362,36.2%,"$5,741",43.7,2018
805,Berlin Community School,"PK, KG-8",Berlin Borough School District,831,15.9%,"$11,413",43.6,2018
806,Harry L Bain,K-6,West New York School District,697,79.3%,"$9,700",43.3,2018
807,Washington Elementary School,"PK, KG-5",West Orange Public Schools,413,82.1%,"$11,461",43.3,2018
808,Claremont Avenue Elementary School,K-5,Woodbridge Township School District,289,19.4%,"$4,849",43.3,2018
809,Broad Street Elementary School,"PK, KG-5",Greenwich Township School District,290,38.6%,$337,43.2,2018
810,Number 8,"PK, KG-5",Linden Public School District,327,52.3%,"$9,886",43.2,2018
811,Lake Tract Elementary School,2-6,Deptford Township Public School District,488,40.4%,"$6,306",43.1,2018
812,'Franklin Elementary School,"PK, KG-6",Kearny,935,59.7%,"$8,366",42.8,2018
813,Forked River Elementary School,K-4,Lacey Township School District,411,38.7%,"$13,075",42.8,2018
814,MacAfee Road School,"PK, KG-5",Franklin Township Public School District,396,36.9%,"$11,373",42.7,2018
815,Oak Ridge Heights Elementary School,K-5,Woodbridge Township School District,314,10.8%,"$4,848",42.7,2018
816,West Cape May Elementary School,"PK, KG-6",West Cape May School District,102,24.5%,"$14,370",42.6,2018
817,Robert Morris School,"PK, KG-8",South Bound Brook Public School District,447,40.3%,"$13,506",42.5,2018
818,Cedar Creek Elementary School,K-4,Lacey Township School District,508,22.6%,"$12,360",42.5,2018
819,Arthur Rann Elementary School,K-6,Galloway Township Public School District,648,48.9%,"$10,851",42.4,2018
820,John M. Bailey Community School,"PK, KG-8",Bayonne School District,664,58.9%,"$10,468",42.1,2018
821,Roosevelt Elementary School,"PK, KG-6",Kearny,437,34.3%,"$8,172",41.9,2018
822,The Village Charter School,K-8,The Village Charter School,359,70.5%,"$10,151",41.9,2018
823,Dr. Orlando Edreira Academy School No. 26,"PK, KG-8",Elizabeth Public Schools,652,81.9%,"$9,454",41.9,2018
824,Veterans Memorial Elementary School,K-5,Brick Township Public School District,636,40.7%,"$7,392",41.8,2018
825,Colin Powell Elementary School,K-5,Union City School District,842,84.6%,"$10,464",41.8,2018
826,Horace Mann Elementary School,1-8,North Bergen School District,"1,111",44.5%,"$4,973",41.8,2018
827,John P. Holland Charter School,"PK, KG-8",John P Holland Charter School,351,83.2%,"$9,769",41.7,2018
828,Number 6,"PK, KG-5",Linden Public School District,356,53.9%,"$9,307",41.7,2018
829,Drum Point Road Elementary School,K-5,Brick Township Public School District,428,33.9%,"$8,027",41.6,2018
830,Anna L. Klein,"PK, KG-8",Guttenberg School District,985,81.7%,"$11,321",41.6,2018
831,Bayville Elementary School,"PK, KG-4",Berkeley Township School District,403,40.7%,"$12,564",41.5,2018
832,Veterans' Memorial Elementary School,"PK, KG-5",Union City School District,609,85.7%,"$10,358",41.5,2018
833,Clarence B. Lamb Elementary School,"PK, KG-4",North Hanover Township School District,364,40.1%,"$11,042",41.2,2018
834,Weymouth Township Elementary School,"PK, KG-8",Weymouth Township School District,153,56.2%,"$14,972",41.1,2018
835,Crawford-Rodriguez Elementary School,"PK, KG-5",Jackson Township School District,672,31.8%,"$8,982",41.1,2018
