rank,school,type,grades,address,city,zip,county,district,year
511,Mac Farland Intermediate,Public,3-5,87 Crosswicks St,Bordentown,08505,Burlington County,Bordentown Regional School District,2019
512,Memorial School,Public,"PK, KG-8",Memorial School,South Hackensack,07606,Bergen County,South Hackensack School District,2019
513,School #16,Public,K-5,755 Grove Street,Clifton,07013,Passaic County,Clifton Public School District,2019
514,Katharine D Malone Elementary School,Public,K-5,524 Green Pond Road,Rockaway,07866,Morris County,Rockaway Township School District,2019
515,McKenzie School,Public,"PK, KG-4",125 Carlton Avenue,East Rutherford,07073,Bergen County,East Rutherford School District,2019
516,Dennis B O'Brien Elementary School,Public,"PK, KG-5",16 Mineral Spring Drive,Dover,07801,Morris County,Rockaway Township School District,2019
517,West Cape May Elementary School,Public,"PK, KG-6",301 Moore Street,West Cape May,08204,Cape May County,West Cape May School District,2019
518,Lafayette Township School,Public,"PK, KG-8",178 Beaver Run Road,Lafayette,07848,Sussex County,Lafayette Township School District,2019
519,Greenwich School,Public,"PK, KG-5",101 Wyndham Farm Boulevard,Stewartsville,08886,Warren County,Greenwich Township School District,2019
520,Marshall Hill Elementary School,Public,K-5,210 Marshall Hill Road,West Milford,07480,Passaic County,West Milford Township Public School District,2019
521,Central Elementary School,Public,K-5,2007 Allenwood Road,Wall,07719,Monmouth County,Wall Township Public School District,2019
522,Lafayette Elementary School,Public,K-5,100 Laauwe Avenue,Wayne,07470,Passaic County,Wayne Township Public School District,2019
523,Thomas Paine Elementary School,Public,K-5,4001 Church Rd.,Cherry Hill,08034,Camden County,Cherry Hill School District,2019
524,Englewood on the Palisades Charter School,"Public, Charter",K-8,65  West Demarest Avenue,Englewood,07631,Bergen County,Englewood on the Palisades Charter School,2019
525,Parkview School,Public,"PK, KG-3",80 Violet Terrace,Milltown,08850,Middlesex County,Milltown School District,2019
526,Manchester Township Elementary School,Public,K-5,101 N  Colonial Drive,Manchester,08733,Ocean County,Manchester Township School District,2019
527,Dwight D. Eisenhower Elementary School,Public,K-3,601 Ernston Road,Parlin,08859,Middlesex County,Sayreville School District,2019
528,Theunis Dey Elementary School,Public,K-5,55 Webster Drive,Wayne,07470,Passaic County,Wayne Township Public School District,2019
529,Ocean Road Elementary School,Public,"PK, KG-5",Benedict Street,Point Pleasant Beach,08742,Ocean County,Point Pleasant Borough School District,2019
530,Clinton Public School,Public,"PK, KG-8",10 School Street,Clinton,08809,Hunterdon County,Clinton-Glen Gardner School District,2019
531,Hannah Caldwell Elementary,Public,"PK, KG-4",1120 Commerce Avenue,Union,07083,Union County,Township of Union School District,2019
532,Francis A. Desmares Elementary School,Public,K-4,16 Old Clinton Road,Flemington,08822,Hunterdon County,Flemington-Raritan Regional School District,2019
