rank,school,type,grades,address,city,zip,county,district,year
612,Alice Costello Elementary School,Public,"PK, KG-8",301 Haakon rd.,Brooklawn,08030,Camden County,Brooklawn Public School District,2018
613,Academy for Urban Leadership Charter School,"Public, Charter",7-12,612 Amboy Ave,Perth Amboy,08861,Middlesex County,Academy for Urban Leadership Charter School,2018
614,School 26,Public,"PK, KG-8",1 East 32nd Street,Paterson,07514,Passaic County,Paterson Public School District,2018
615,Hawthorne Avenue School,Public,"PK, KG-8",428 Hawthorne Ave,Newark,07112,Essex County,Newark Public School District,2018
616,School 3,Public,K-8,448 Main Street,Paterson,07501,Passaic County,Paterson Public School District,2018
617,Hawkins Street School,Public,K-8,8 Hawkins St,Newark,07105,Essex County,Newark Public School District,2018
618,Cherry Street School,Public,K-8,11 Cherry Street,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
619,Luis Mu?oz Marin Elementary School,Public,"PK, KG-8",663 Broadway,Newark,07104,Essex County,Newark Public School District,2018
620,John Marshal School No. 20,Public,K-8,521 Magnolia Ave,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
621,Indian Ave School,Public,K-8,399 Indian Avenue,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
622,Neptune Middle School,Public,6-8,2300 Heck Avenue,Neptune,07753,Monmouth County,Neptune Township School District,2018
623,West Avenue School,Public,K-8,51 North West Avenue,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
624,Chaplain Charles Watters School,Public,"PK, KG-8",220 Virginia Ave,Jersey City,07304,Hudson County,Jersey City Public Schools,2018
625,Maxson Middle School,Public,6-8,920 E Seventh St,Plainfield,07062,Union County,Plainfield Public School District,2018
626,Quarter Mile Lane School,Public,"PK, KG-8",300 Quarter Mile Lane,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
627,School 20,Public,K-8,500 East 37th Street,Paterson,07504,Passaic County,Paterson Public School District,2018
628,Lakehurst Elementary School,Public,"PK, KG-8",301 Union Ave,Lakehurst,08733,Ocean County,Lakehurst School District,2018
629,Freedom Prep Charter School,"Public, Charter, Alternative",K-12,1000 Atlantic AVE,Camden,08104,Camden County,Freedom Prep Charter School,2018
630,Willingboro Memorial Middle School,Public,5-8,451 Van Sciver Parkway,Willingboro,08046,Burlington County,Willingboro Public School District,2018
631,Chancellor Avenue School,Public,K-8,321 Chancellor Ave,Newark,07112,Essex County,Newark Public School District,2018
632,Dr. Martin Luther King Junior Educational Complex,Public,"PK, KG-8",851 E  28th Street,Paterson,07513,Passaic County,Paterson Public School District,2018
633,President Barack Obama Elementary School,Public,"PK, KG-8",1830 Kennedy Blvd,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
634,Lakewood Middle School,Public,6-8,755 Somerset Avenue,Lakewood,08701,Ocean County,Lakewood Township School District,2018
635,Dr Martin Luther King Junior School Complex,Public,"PK, KG-8",1700 Marmora Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
636,School 13,Public,K-8,690 East 23rd St,Paterson,07504,Passaic County,Paterson Public School District,2018
637,Penns Grove Middle School,Public,6-8,351 Maple Avenue,Penns Grove,08069,Salem County,Penns Grove-Carneys Point Regional School District,2018
638,Thirteenth Avenue School,Public,"PK, KG-8",359 Thirteenth Ave,Newark,07103,Essex County,Newark Public School District,2018
639,Benjamin Franklin School No. 13,Public,K-8,248 Ripley Pl,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
640,Oakwood Avenue Community School,Public,"PK, KG-7",135 Oakwood Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
641,Hedgepeth Williams Middle School,Public,6-8,301 Gladstone Ave,Trenton,08629,Mercer County,Trenton Public School District,2018
642,Lincoln Elementary School,Public,"PK, KG-8",87 Richelieu Ter,Newark,07106,Essex County,Newark Public School District,2018
643,Hubbard Middle School,Public,6-8,661 W Eighth St,Plainfield,07060,Union County,Plainfield Public School District,2018
644,Jerome Dunn Academy No 9,Public,K-8,125 Third Street,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
645,University Middle School,Public,6-8,255 Myrtle Ave,Irvington,07111,Essex County,Irvington Public School District,2018
646,New Roberto Clemente,Public,6-8,482-506 Market Street,Paterson,07501,Passaic County,Paterson Public School District,2018
647,Thomas W. Wallace Junior Middle School,Public,6-8,688 North Mill Road,Vineland,08360,Cumberland County,Vineland Public School District,2018
648,Pleasantville Middle School,Public,6-8,801 Mill Road,Pleasantville,08232,Atlantic County,Pleasantville Public School District,2018
649,Riverside Middle School,Public,6-8,112 E Washington Street,Riverside,08075,Burlington County,Riverside Township School District,2018
